[2021-01-05 10:43:03,739] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3799867630004883s
[2021-01-05 10:43:04,118] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3763558864593506s
[2021-01-05 10:43:04,493] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37291479110717773s
[2021-01-05 10:43:04,869] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37402868270874023s
[2021-01-05 10:43:05,250] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3779902458190918s
[2021-01-05 10:43:05,629] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3774230480194092s
[2021-01-05 10:43:06,005] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3735802173614502s
[2021-01-05 10:43:06,380] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3730299472808838s
[2021-01-05 10:43:06,761] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37853002548217773s
[2021-01-05 10:43:07,142] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3784003257751465s
[2021-01-05 10:43:07,518] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37470078468322754s
[2021-01-05 10:43:07,896] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37528038024902344s
[2021-01-05 10:43:08,275] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3769845962524414s
[2021-01-05 10:43:08,657] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37901854515075684s
[2021-01-05 10:43:09,033] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3730342388153076s
[2021-01-05 10:43:09,408] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3720543384552002s
[2021-01-05 10:43:09,785] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3749973773956299s
[2021-01-05 10:43:10,163] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37599730491638184s
[2021-01-05 10:43:10,540] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3737814426422119s
[2021-01-05 10:43:10,915] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3730044364929199s
[2021-01-05 10:43:11,291] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3729691505432129s
[2021-01-05 10:43:11,671] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37699127197265625s
[2021-01-05 10:43:12,049] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3749673366546631s
[2021-01-05 10:43:12,424] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37203383445739746s
[2021-01-05 10:43:12,805] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3792285919189453s
[2021-01-05 10:43:13,186] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37865400314331055s
[2021-01-05 10:43:13,564] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37627673149108887s
[2021-01-05 10:43:13,937] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3709099292755127s
[2021-01-05 10:43:14,318] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3780181407928467s
[2021-01-05 10:43:14,700] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3803238868713379s
[2021-01-05 10:43:15,080] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37701916694641113s
[2021-01-05 10:43:15,454] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37203240394592285s
[2021-01-05 10:43:15,831] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37402820587158203s
[2021-01-05 10:43:16,212] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3779895305633545s
[2021-01-05 10:43:16,589] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37502455711364746s
[2021-01-05 10:43:16,963] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37103819847106934s
[2021-01-05 10:43:17,340] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3740272521972656s
[2021-01-05 10:43:17,721] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3779489994049072s
[2021-01-05 10:43:18,102] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3777308464050293s
[2021-01-05 10:43:18,490] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.38607168197631836s
